x_m,y_m,w_tr_right_m,w_tr_left_m,psi_rad,kappa_radpm,vx_mps
-11.105380,-3.445232,0.4108,0.4179,-0.649103,0.047848,14.6220
-10.905190,-3.595254,0.5019,0.5308,-0.636261,0.054829,16.0419
-10.702959,-3.742519,0.5615,0.6265,-0.622656,0.053943,16.8592
-10.498761,-3.887041,0.5520,0.6665,-0.608989,0.055318,16.9258
-10.292581,-4.028723,0.5371,0.7116,-0.595061,0.056036,16.6577
-10.084436,-4.167501,0.5311,0.7769,-0.580932,0.056927,16.3851
-9.874336,-4.303302,0.5200,0.8419,-0.566575,0.057859,16.1079
-9.662293,-4.436047,0.5032,0.8871,-0.551969,0.058911,15.8259
-9.448316,-4.565653,0.4695,0.8902,-0.537081,0.060120,15.5388
-9.232414,-4.692026,0.4170,0.8548,-0.521933,0.060990,15.2462
-9.014610,-4.815091,0.4070,0.8549,-0.506544,0.062046,14.9480
-8.794922,-4.934760,0.4211,0.8788,-0.490775,0.064030,14.6436
-8.573345,-5.050896,0.4297,0.8963,-0.474511,0.066005,14.3328
-8.349881,-5.163357,0.4382,0.9095,-0.457744,0.068049,14.0151
-8.124535,-5.271999,0.4310,0.9040,-0.440468,0.070071,13.6901
-7.897319,-5.376673,0.4079,0.8775,-0.422693,0.072042,13.3571
-7.668254,-5.477237,0.4123,0.8750,-0.404454,0.073781,13.0156
-7.437372,-5.573556,0.4294,0.8822,-0.385802,0.075349,12.6649
-7.204715,-5.665506,0.4441,0.8811,-0.366857,0.076122,12.3042
-6.970350,-5.753009,0.4334,0.8514,-0.347796,0.076270,11.9326
-6.734359,-5.836026,0.4014,0.8032,-0.329102,0.073194,11.5491
-6.496886,-5.914708,0.4106,0.7994,-0.310925,0.072139,11.1524
-6.258033,-5.989092,0.4532,0.8242,-0.290433,0.091703,10.7410
-6.017536,-6.057978,0.4883,0.8365,-0.264489,0.115736,10.3133
-5.775144,-6.119874,0.5573,0.8799,-0.230529,0.155828,9.8670
-5.530528,-6.172279,0.6005,0.9018,-0.183866,0.217410,9.3995
-5.283422,-6.211318,0.6177,0.8979,-0.130438,0.209982,9.3995
-5.034611,-6.237335,0.5797,0.8408,-0.078420,0.206117,9.5729
-4.784790,-6.250501,0.6622,0.9157,-0.027328,0.202563,9.6667
