x_m,y_m,w_tr_right_m,w_tr_left_m
-10.574086,-0.906699,0.6197,0.6197
-10.625115,-0.890979,0.6295,0.6295
-10.675341,-0.874226,0.6394,0.6394
-10.725658,-0.856424,0.5992,0.5992
-10.775112,-0.838544,0.6098,0.6098
-10.824600,-0.819710,0.6197,0.6197
-10.874038,-0.799918,0.5795,0.5795
-10.923347,-0.779166,0.5894,0.5894
-10.971578,-0.757455,0.5992,0.5992
-11.019639,-0.734790,0.5794,0.5794
-11.067455,-0.711178,0.5894,0.5894
-11.114083,-0.686628,0.5492,0.5492
-11.160435,-0.661154,0.5794,0.5794
-11.206444,-0.634770,0.5492,0.5492
-11.251172,-0.607496,0.5492,0.5492
-11.295537,-0.579352,0.5395,0.5395
-11.338605,-0.550363,0.5298,0.5298
-11.381299,-0.520555,0.5600,0.5600
-11.423556,-0.489958,0.5600,0.5600
-11.465320,-0.457619,0.5697,0.5697
-11.506534,-0.423458,0.5600,0.5600
-11.546277,-0.387392,0.5600,0.5600
-11.585481,-0.349338,0.5600,0.5600
-11.624096,-0.310201,0.5395,0.5395
-11.661206,-0.269030,0.5298,0.5298
-11.697748,-0.226731,0.5492,0.5492
-11.733680,-0.183343,0.5395,0.5395
-11.768959,-0.138905,0.5298,0.5298
-11.803548,-0.093462,0.5298,0.5298
-11.836541,-0.047061,0.5492,0.5492
-11.868888,0.000250,0.5395,0.5395
-11.900556,0.048417,0.5697,0.5697
-11.931515,0.097386,0.5600,0.5600
-11.961739,0.147099,0.5492,0.5492
-11.990333,0.197496,0.5794,0.5794
-12.018259,0.248511,0.5697,0.5697
-12.045494,0.300081,0.5992,0.5992
-12.072020,0.352134,0.5794,0.5794
-12.096952,0.404599,0.6095,0.6095
-12.121259,0.457402,0.5992,0.5992
-12.144928,0.510464,0.5992,0.5992
-12.167948,0.563705,0.6095,0.6095
-12.190314,0.617042,0.6295,0.6295
-12.211151,0.670388,0.6192,0.6192
-12.231439,0.723655,0.6492,0.6492
-12.251176,0.776751,0.6394,0.6394
-12.270364,0.829581,0.6494,0.6494
-12.289007,0.882048,0.6492,0.6492
-12.306243,0.934052,0.6591,0.6591
-12.323062,0.985489,0.6795,0.6795
-12.339475,1.037238,0.6697,0.6697
-12.355494,1.089307,0.6892,0.6892
-12.371135,1.140721,0.7000,0.7000
-12.386416,1.191371,0.7000,0.7000
-12.401358,1.242130,0.7000,0.7000
-12.415986,1.293000,0.7291,0.7291
-12.430326,1.343000,0.7500,0.7500
-12.444408,1.393000,0.7500,0.7500
-12.458264,1.443000,0.7797,0.7797
-12.471930,1.493000,0.7894,0.7894
-12.485444,1.543000,0.7689,0.7689
-12.499717,1.593000,0.7591,0.7591
-12.513810,1.643000,0.7992,0.7992
-12.527774,1.693000,0.7894,0.7894
